profile_id,archetype,narrative_score,score_range,grade_year,intended_major,ec_1,ec_2,ec_3,ec_4,ec_5,spike,awards,leadership,schools_admitted,schools_rejected,narrative_tags,illustrative
001,Researcher,85,elite,2024,Computer Science,Paid SWE intern at Fortune 1000 company,Robotics club team lead,CS Honor Society VP,Lead teacher at robotics summer camp,Club sport captain,USACO Platinum competitor with Fortune 1000 internship,USACO Platinum | AIME Qualifier | Google Code Jam Round 2 | Facebook Hacker Cup Round 2 | AP Scholar with Distinction | NMSC,Robotics Team Lead | CS Honor Society VP | Summer Camp Lead Teacher,"UVA, Georgia Tech, Virginia Tech, William & Mary, UMD College Park","","technical-depth, competitive-programming, teaching",false
002,Leader,88,elite,2024,Political Science,Student Body VP at public school,Law internship,Small business owner donating to marginalized youth,Youth advisor for church,Radio show with family,Multi-domain leader with law internship and real business impact at low income background,"Georgia Certificate of Merit | College Board National African-American Recognition | AP Scholar | NHS | Honor Roll",Student Body VP | Youth Church Advisor | Business Owner,"Stanford, Yale, Columbia, UPenn, Dartmouth, Duke, UNC Chapel Hill, Brown, WashU, Barnard, University of Miami, Georgia Tech, UGA, Georgia State, Georgia Southern, UCF, UMD","","civic-leadership, entrepreneurship, low-income-achiever",false
003,Leader,92,elite,2024,Economics,Founding director of two student-led nonprofits,Model UN president and international-level debater,School student council,Youth Ambassador at United Nations,Convalescent plasma and COVID vaccination officer,Founded two nonprofits with UN-level international reach,"Rollins Alfond Scholar $280k | India National Economics Olympiad Finalist | IGCSE School Topper (Econ, Accounting, Business, Math, English, Spanish) | University Sustainability Competition Runner-Up | National Community Service Award",Nonprofit Founding Director x2 | MUN President | Student Council,"Stanford, MIT, Harvard, Princeton, Yale, Columbia, Caltech, Duke, Johns Hopkins, Cornell, Brown, Georgetown, Rice, Vanderbilt, Tufts, NYU, UVA, Oxford, UC Berkeley, UCLA","","international-impact, nonprofit-founder, multi-domain-leader",false
004,Researcher,72,mid,2024,Biomedical Engineering,University research lab intern (non-published),HOSA member and international finalist,Science Olympiad member,Investment team member (international semifinalist),VP of science experiment club for children,HOSA international finalist with USNCO top 5 in state,"HOSA International Finalist | USNCO Top 5 in State | International Investment Competition Semifinalist | National Merit Commended",VP Science Club | Investment Team Member,"Purdue, Indiana University, University of Alabama","","research-leaning, science-competitions, mid-tier-awards",false
005,Builder,68,mid,2024,Aerospace Engineering,Robotics club competitor (2 years),Mentoring First Lego League team (3 hrs/week),Hackathons,Java tutoring (1.5 hrs/week),Engineering workshop volunteer,Robotics competitor with strong mentoring commitment,"2 Robotics Awards | AP Scholar with Distinction","Robotics Club | FLL Mentor","University of Washington Seattle, Ohio State, Penn State, Santa Clara, CalPoly Pomona, San Diego State, San Jose State","","robotics, mentorship, hands-on-builder",false
006,Explorer,65,mid,2024,Aerospace Engineering,Part-time work at Taco Bell,City Public Works internship,Engineering club,Math club,Tutoring middle schoolers in academics,Civic-minded explorer bridging real work and community service,"Honor Roll | Principal's List","Engineering Club | Math Club | Tutoring","SF State, Cal Poly Humboldt, UC Merced","","real-world-work, community-service, civic-curiosity",false
007,Performer,80,high,2024,Aerospace Engineering,Marching Band president and woodwind captain,Principal saxophonist (first chair jazz and concert band),Varsity tennis regional division winner (2 years),Investment manager for family and friends portfolios,Soccer team captain (2 years),Multi-sport multi-art performer with real financial acumen,"National Merit Semifinalist | AP Scholar with Distinction | First Year Outstanding Band Member | School Award",Band President | Woodwind Captain | Tennis Captain | Soccer Captain,"Georgia Tech, UGA, UIUC, Purdue","","performer-athlete, financial-self-taught, multi-domain",false
008,Builder,90,elite,2024,Computer Science,NASA challenge winning team leader,Published research in CS and Aerospace Engineering,Founder of nonprofit for autistic children,App developer at country's largest tech challenge,Aerodynamic engineer at car racing challenge,Published researcher and NASA winner with founded nonprofit at international competition level,"Indian Winners and International Top 5 at NASA Challenge | Mega Finalist at Harvard Student Agency Entrepreneurship Challenge | Part of Team India at World Maths Team Championship | High Distinction Medal at International Chemistry Quiz | International Rank 4 at Global Maths Olympiad | A1 German | C2 Cambridge English","Nonprofit Founder | Team Lead NASA | App Dev Lead","Stanford","","international-competitions, research-published, nonprofit-founder",false
009,Explorer,78,high,2024,Mechanical Engineering,Civil Air Patrol (emergency service and aerospace education),Varsity volleyball (2 years) and club volleyball (4 years),Speech and debate (2 years),Peer tutoring (4 hrs/week),Needle tatting and art commissions,Unusually broad explorer with aerospace training and creative craft skills,"No major awards listed","Civil Air Patrol Member | Peer Tutor","University of Chicago, Northwestern, SDSU, SJSU, Cal State LA","","broad-explorer, aerospace-adjacent, creative-craft",false
010,Researcher,84,elite,2024,Physics,Founded robotics program teaching ~120 kids,Physics internship under university professor,Math and science club head,Built large telescope featured in local newspaper,Conducted independent research projects,Founded youth robotics program with university research affiliation and media recognition,"National Physics Olympiad Gold x2 | Science Research Paper Top 50 | Top in Physics 2 years | Prefecture Math and Science Competition Top 5 | Local Aerospace Engineering Competition 1st Place",Robotics Program Founder | Club Head,"MIT","","physics-spike, youth-teaching, hands-on-research",false
